"Category","Field (SPARQL variable)","Ontology Property","Description (EN)","Descrição (PT)","Descripción (ES)","Example SPARQL Query"
"General","All labels","rdfs:label","All text labels in the ontology exist in 3 languages (en/pt/es). Always filter: FILTER(LANG(?label) = ""en"")","Todos os rótulos existem em 3 idiomas. Use sempre: FILTER(LANG(?label) = ""en"")","Todas las etiquetas existen en 3 idiomas. Use siempre: FILTER(LANG(?label) = ""en"")","SELECT ?s ?label WHERE { ?s rdfs:label ?label . FILTER (LANG(?label) = ""en"") }"
"Policy","policyName","rdfs:label on Ellas:Policy","Name of the public policy","Nome da política pública","Nombre de la política pública","SELECT DISTINCT ?policyName WHERE { ?p a Ellas:Policy. ?p rdfs:label ?policyName. FILTER(LANG(?policyName)=""en"") }"
"Policy","countryName","Ellas:created_in / rdfs:label","Country where the policy was created","País onde a política foi criada","País donde se creó la política","SELECT DISTINCT ?policyName ?countryName WHERE { ?p a Ellas:Policy. ?p rdfs:label ?policyName. FILTER(LANG(?policyName)=""en"") ?p Ellas:created_in ?c. ?c rdfs:label ?countryName. FILTER(LANG(?countryName)=""en"") }"
"Policy","policyType","Ellas:policy_type","Type/category of the policy","Tipo/categoria da política","Tipo/categoría de la política","OPTIONAL { ?policy Ellas:policy_type ?policyType. }"
"Policy","startDate","Ellas:start_date","Year the policy started","Ano de início da política","Año de inicio de la política","OPTIONAL { ?policy Ellas:start_date ?startDate. }"
"Policy","policyDescription","Ellas:policy_description","Description or results of the policy","Descrição ou resultados da política","Descripción o resultados de la política","OPTIONAL { ?policy Ellas:policy_description ?policyDescription. }"
"Policy","dataSource","Ellas:policy_source","Source document/spreadsheet for this policy","Documento/planilha de origem desta política","Documento/hoja de origen de esta política","OPTIONAL { ?policy Ellas:policy_source ?dataSource. }"
"Initiative","initiativeName","rdfs:label on Ellas:Initiative","Name of the initiative","Nome da iniciativa","Nombre de la iniciativa","SELECT DISTINCT ?initiativeName WHERE { ?i a Ellas:Initiative. ?i rdfs:label ?initiativeName. FILTER(LANG(?initiativeName)=""en"") }"
"Initiative","countryName","Ellas:created_in / rdfs:label","Country where the initiative operates","País onde a iniciativa atua","País donde opera la iniciativa","?i Ellas:created_in ?c. ?c rdfs:label ?countryName. FILTER(LANG(?countryName)=""en"")"
"Initiative","status","Ellas:initiative_status","Current status: Active / Finished / Design","Status atual: Active / Finished / Design","Estado actual: Active / Finished / Design","OPTIONAL { ?initiative Ellas:initiative_status ?status. }"
"Initiative","startDate","Ellas:start_date","Year the initiative started","Ano de início da iniciativa","Año de inicio de la iniciativa","OPTIONAL { ?initiative Ellas:start_date ?startDate. }"
"Initiative","finishDate","Ellas:finish_date","Year the initiative ended (if applicable)","Ano de encerramento (se aplicável)","Año de cierre (si aplica)","OPTIONAL { ?initiative Ellas:finish_date ?finishDate. }"
"Initiative","format","Ellas:initiative_format","Format/modality of the initiative","Formato/modalidade da iniciativa","Formato/modalidad de la iniciativa","OPTIONAL { ?initiative Ellas:initiative_format ?format. }"
"Initiative","objective","Ellas:initiative_objective","Main objective of the initiative","Objetivo principal da iniciativa","Objetivo principal de la iniciativa","OPTIONAL { ?initiative Ellas:initiative_objective ?objective. }"
"Initiative","coordinatorType","Ellas:initiative_coordinator_type","Type of coordinator: Personal / Institutional","Tipo de coordenador: Personal / Institutional","Tipo de coordinador: Personal / Institutional","OPTIONAL { ?initiative Ellas:initiative_coordinator_type ?coordinatorType. }"
"Initiative","coordinatorGender","Ellas:initiative_coordinator_gender","Gender of the coordinator","Gênero do coordenador","Género del coordinador","OPTIONAL { ?initiative Ellas:initiative_coordinator_gender ?coordinatorGender. }"
"Initiative","organizationSector","Ellas:initiative_organization_sector","Public / Private / Mixed sector","Setor público / privado / misto","Sector público / privado / mixto","OPTIONAL { ?initiative Ellas:initiative_organization_sector ?organizationSector. }"
"Initiative","website","Ellas:initiative_website","Official website URL","URL do site oficial","URL del sitio oficial","OPTIONAL { ?initiative Ellas:initiative_website ?website. }"
"Initiative","dataSource","Ellas:initiative_data_source","Source spreadsheet/document for this initiative","Planilha/documento de origem desta iniciativa","Hoja/documento de origen de esta iniciativa","OPTIONAL { ?initiative Ellas:initiative_data_source ?dataSource. }"
"Initiative","targetAudienceAge","Ellas:focused_on (Ellas:Target_Audience_Age)","Age group: children / teenagers / adults","Faixa etária: crianças / adolescentes / adultos","Grupo de edad: niños / adolescentes / adultos","?i Ellas:focused_on ?ta. ?ta a Ellas:Target_Audience_Age. ?ta rdfs:label ?targetAudienceAge."
"Initiative","targetAudienceGender","Ellas:focused_on (Ellas:Target_Audience_Gender)","Target gender: Feminine / Masculine / All","Gênero alvo: Feminine / Masculine / All","Género objetivo: Feminine / Masculine / All","?i Ellas:focused_on ?ta. ?ta a Ellas:Target_Audience_Gender. ?ta rdfs:label ?targetAudienceGender."
"Initiative","targetAudienceRace","Ellas:focused_on (Ellas:Target_Audience_Race)","Target race/ethnicity","Raça/etnia alvo","Raza/etnia objetivo","?i Ellas:focused_on ?ta. ?ta a Ellas:Target_Audience_Race. ?ta rdfs:label ?targetAudienceRace."
"Initiative","organizationName","Ellas:funded_by / rdfs:label","Funding organization name","Nome da organização financiadora","Nombre de la organización financiadora","OPTIONAL { ?i Ellas:funded_by ?org. ?org rdfs:label ?organizationName. }"
